AUC
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
KC4.arff(CFS),0.128,0.1,0.266,0.136,0.362,0.102,0.034,0.268
KC4.arff(RFE),0.128,0.134,0.3,0.1,0.394,0.102,0.068,0.234
MC1.arff(All),0.8,0.1,0.8,1.0,0.4,0.6,0.1,0.6
MC1.arff(CFS),0.9,0.3,1.0,1.0,0.4,0.4,0.4,0.6
MC1.arff(RFE),0.3,0.1,0.4,0.5,0.3,0.6,0.2,0.4
MC2.arff(All),0.618,0.432,0.316,0.45,0.668,0.35,0.332,0.484
MC2.arff(CFS),0.1,0.132,0.1,0.1,0.2,0.05,0.166,0.1
MC2.arff(RFE),0.1,0.25,0.05,0.166,0.1,0.184,0.284,0.1
MW1.arff(All),0.8,0.6,0.6,0.8,0.8,0.8,0.6,0.8
MW1.arff(CFS),0.6,1.0,0.6,1.0,0.8,0.8,0.7,0.8
MW1.arff(RFE),0.2,0.8,0.8,0.6,1.0,1.0,0.8,0.8
PC1.arff(All),0.634,0.248,0.198,0.8,0.198,0.132,0.182,0.132
PC1.arff(CFS),0.248,0.316,0.2,0.866,0.182,0.3,0.366,0.116
PC1.arff(RFE),0.132,0.466,0.5,0.432,0.332,0.384,0.316,0.332
PC2.arff(All),0.6,0.8,0.4,1.0,0.3,0.8,0.3,0.4
PC2.arff(CFS),0.4,0.6,0.6,1.0,0.2,0.6,0.5,0.6
PC2.arff(RFE),0.3,0.6,0.4,0.6,0.3,0.6,0.6,0.4
PC3.arff(All),0.366,0.124,0.1,0.696,0.08,0.08,0.182,0.08
PC3.arff(CFS),0.162,0.164,0.122,0.262,0.08,0.08,0.142,0.08
PC3.arff(RFE),0.224,0.262,0.492,0.162,0.182,0.18,0.182,0.182
PC4.arff(All),0.376,0.0,0.078,0.734,0.016,0.0,0.046,0.016
PC4.arff(CFS),0.112,0.0,0.046,0.03,0.0,0.0,0.032,0.0
PC4.arff(RFE),0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.0
PC5.arff(All),0.616,0.152,0.18,0.226,0.41,0.116,0.148,0.182
PC5.arff(CFS),0.356,0.178,0.262,0.196,0.302,0.102,0.192,0.258
PC5.arff(RFE),0.322,0.124,0.226,0.152,0.31,0.094,0.126,0.196
